=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 17:01:49 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_L
2190, 121, 4, 
2192, 9, 9, 
2194, 225, 4, 
2196, 441, 1, 
2198, 49, 25, 
2200, 169, 1, 
2202, 196, 16, 
2204, 49, 25, 
2206, 324, 1, 
2208, 121, 25, 
2210, 81, 1, 
2212, 196, 4, 
2214, 49, 4, 
2216, 729, 1, 
2219, 36, 36, 
2221, 0, 4, 
2223, 9, 0, 
2225, 484, 1, 
2227, 100, 25, 
2229, 144, 9, 
2231, 0, 4, 
2234, 841, 1, 
2236, 100, 25, 
2238, 225, 36, 
2240, 1521, 4, 
2242, 3364, 289, 
2244, 81, 25, 
2246, 36, 16, 
2248, 1, 25, 
2250, 0, 0, 
2252, 0, 36, 
2254, 121, 4, 
2256, 900, 0, 
2258, 225, 121, 
2260, 4356, 49, 
2263, 900, 100, 
2265, 2601, 0, 
2267, 100, 144, 
2269, 3721, 4, 
2271, 784, 196, 
2273, 784, 0, 
2275, 64, 121, 
2277, 9, 81, 
2279, 81, 0, 
2281, 81, 9, 
2283, 16, 25, 
2285, 1, 1, 
2287, 4, 9, 
2289, 9, 0, 
2291, 4, 9, 
2293, 4, 0, 
2295, 0, 0, 
2297, 0, 1, 
2299, 1, 0, 
2301, 0, 0, 
2304, 1, 1, 
2306, 36, 0, 
2308, 4, 0, 
2310, 1, 0, 
2312, 4, 0, 
2314, 0, 0, 
2316, 1, 0, 
2318, 1, 0, 
2320, 1, 0, 
2323, 1, 1, 
2325, 4, 0, 
2327, 1, 1, 
2329, 0, 0, 
2331, 4, 0, 
2333, 0, 0, 
2335, 0, 0, 
2337, 0, 0, 
2339, 1, 0, 
2341, 0, 0, 
2343, 0, 0, 
2345, 1, 0, 
2348, 1, 1, 
2350, 0, 0, 
2352, 0, 0, 
2354, 0, 0, 
2356, 0, 1, 
2358, 0, 1, 
2360, 1, 1, 
2362, 0, 0, 
2364, 0, 0, 
2366, 0, 0, 
2368, 0, 0, 
2370, 0, 0, 
2372, 0, 0, 
2374, 0, 0, 
2376, 0, 0, 
2378, 0, 0, 
2380, 0, 0, 
2382, 0, 0, 
2384, 0, 0, 
2386, 0, 1, 
2388, 0, 1, 
2391, 0, 0, 
2393, 0, 0, 
2395, 0, 0, 
2397, 0, 0, 
2399, 0, 0, 
2401, 0, 0, 
2403, 0, 0, 
2406, 0, 0, 
2408, 0, 1, 
2410, 1, 0, 
2412, 0, 0, 
2414, 0, 0, 
2416, 0, 1, 
2418, 0, 0, 
2420, 0, 0, 
2422, 0, 0, 
2424, 4, 0, 
2426, 1, 4, 
2428, 0, 1, 
2430, 0, 0, 
2433, 1, 0, 
2435, 0, 1, 
2437, 0, 0, 
2439, 0, 1, 
2441, 0, 0, 
2443, 0, 0, 
2445, 0, 0, 
2447, 0, 1, 
2449, 1, 0, 
2451, 0, 0, 
2453, 0, 0, 
2455, 0, 0, 
2457, 0, 0, 
2459, 0, 0, 
2461, 0, 0, 
2463, 0, 1, 
2465, 0, 0, 
2467, 1, 0, 
2469, 0, 0, 
2471, 0, 0, 
2473, 0, 0, 
2476, 0, 0, 
2478, 0, 0, 
2480, 0, 1, 
2482, 0, 1, 
2485, 0, 0, 
2487, 0, 0, 
2489, 0, 1, 
2491, 0, 1, 
2493, 0, 0, 
2495, 0, 1, 
2497, 0, 4, 
2499, 0, 4, 
2501, 0, 0, 
2503, 0, 0, 
2505, 0, 0, 
2507, 0, 0, 
2509, 0, 0, 
2511, 0, 0, 
2513, 0, 0, 
2515, 0, 0, 
2518, 0, 0, 
2520, 0, 0, 
2522, 0, 0, 
2524, 0, 0, 
2526, 0, 0, 
2528, 0, 0, 
2530, 0, 0, 
2532, 0, 0, 
2534, 0, 0, 
2536, 0, 0, 
2538, 0, 0, 
2540, 0, 0, 
2542, 0, 0, 
2544, 0, 0, 
2546, 1, 0, 
2548, 0, 1, 
2550, 0, 0, 
2552, 0, 0, 
2554, 0, 0, 
2556, 0, 0, 
2558, 0, 0, 
